시,구,동,전체합계,합계(남),합계(여),합계(국민기초생활보장_수급권자),국민기초생활보장_수급권자_남,국민기초생활보장_수급권자_여,합계(저소득노인),저소득노인_남,저소득노인_여,합계(일반),일반_남,일반_여
서울특별시,관악구,대학동,968,440,528,259,177,82,19,6,13,690,257,433
서울특별시,관악구,은천동,1592,519,1073,582,201,381,34,9,25,976,309,667
서울특별시,관악구,성현동,1496,390,1106,633,164,469,33,7,26,830,219,611
서울특별시,관악구,청룡동,1388,501,887,445,196,249,20,5,15,923,300,623
서울특별시,관악구,난곡동,1673,601,1072,654,269,385,35,11,24,984,321,663
서울특별시,관악구,삼성동,1677,549,1128,684,216,468,32,8,24,961,325,636
서울특별시,관악구,미성동,1446,479,967,404,122,282,39,4,35,1003,353,650
서울특별시,서초구,소계,10945,3390,7555,2332,807,1525,220,50,170,8393,2533,5860
서울특별시,서초구,서초1동,638,245,393,140,58,82,10,1,9,488,186,302
서울특별시,서초구,서초2동,424,151,273,45,22,23,8,2,6,371,127,244
서울특별시,서초구,서초3동,839,320,519,110,42,68,10,3,7,719,275,444
서울특별시,서초구,서초4동,510,151,359,29,7,22,3,2,1,478,142,336
서울특별시,서초구,잠원동,632,172,460,106,47,59,9,1,8,517,124,393
서울특별시,서초구,반포본동,3,1,2,-,-,-,-,-,-,3,1,2
서울특별시,서초구,반포1동,763,248,515,151,65,86,4,-,4,608,183,425
서울특별시,서초구,반포2동,308,54,254,11,3,8,5,-,5,292,51,241
서울특별시,서초구,반포3동,461,78,383,12,2,10,6,-,6,443,76,367
서울특별시,서초구,반포4동,441,111,330,32,8,24,5,-,5,404,103,301
서울특별시,서초구,방배본동,549,166,383,101,24,77,11,1,10,437,141,296
서울특별시,서초구,방배1동,561,173,388,123,38,85,17,5,12,421,130,291
서울특별시,서초구,방배2동,737,240,497,206,60,146,18,5,13,513,175,338
서울특별시,서초구,방배3동,353,99,254,42,16,26,11,1,10,300,82,218
서울특별시,서초구,방배4동,665,199,466,126,37,89,8,2,6,531,160,371
서울특별시,서초구,양재1동,1614,471,1143,686,218,468,51,14,37,877,239,638
서울특별시,서초구,양재2동,829,307,522,252,118,134,24,5,19,553,184,369
서울특별시,서초구,내곡동,618,204,414,160,42,118,20,8,12,438,154,284
서울특별시,강남구,소계,20973,6574,14399,3660,1263,2397,423,137,286,16890,5174,11716
서울특별시,강남구,신사동,578,178,400,54,23,31,10,4,6,514,151,363
서울특별시,강남구,개포3동,1628,396,1232,438,114,324,62,17,45,1128,265,863
서울특별시,강남구,논현1동,905,343,562,161,64,97,6,1,5,738,278,460
서울특별시,강남구,논현2동,731,223,508,74,19,55,10,3,7,647,201,446
서울특별시,강남구,삼성1동,388,121,267,24,9,15,2,-,2,362,112,250
서울특별시,강남구,삼성2동,825,256,569,95,38,57,17,7,10,713,211,502
서울특별시,강남구,대치1동,240,54,186,2,-,2,1,-,1,237,54,183
서울특별시,강남구,대치4동,589,215,374,102,47,55,5,1,4,482,167,315
서울특별시,강남구,역삼1동,1228,546,682,197,95,102,18,6,12,1013,445,568
서울특별시,강남구,역삼2동,780,244,536,85,35,50,13,4,9,682,205,477
서울특별시,강남구,도곡1동,510,165,345,32,21,11,8,2,6,470,142,328
서울특별시,강남구,도곡2동,713,214,499,20,10,10,4,2,2,689,202,487
서울특별시,강남구,개포1동,599,193,406,48,13,35,20,5,15,531,175,356
서울특별시,강남구,개포4동,871,282,589,154,51,103,16,5,11,701,226,475
서울특별시,강남구,일원본동,531,133,398,30,5,25,5,1,4,496,127,369
서울특별시,강남구,일원1동,1600,510,1090,440,139,301,58,22,36,1102,349,753
서울특별시,강남구,수서동,3410,1138,2272,1141,414,727,57,16,41,2212,708,1504
서울특별시,강남구,세곡동,1908,548,1360,397,109,288,81,32,49,1430,407,1023
서울특별시,강남구,압구정동,876,224,652,29,9,20,5,-,5,842,215,627
서울특별시,강남구,청담동,671,203,468,40,15,25,6,2,4,625,186,439
서울특별시,강남구,대치2동,638,166,472,37,12,25,7,2,5,594,152,442
서울특별시,강남구,개포2동,754,222,532,60,21,39,12,5,7,682,196,486
서울특별시,송파구,소계,25889,8825,17064,5154,1988,3166,287,126,161,20448,6711,13737
서울특별시,송파구,풍납1동,1029,374,655,235,89,146,11,5,6,783,280,503
서울특별시,송파구,풍납2동,1002,330,672,171,64,107,13,6,7,818,260,558
서울특별시,송파구,거여1동,877,330,547,220,86,134,10,4,6,647,240,407
서울특별시,송파구,거여2동,1559,505,1054,383,126,257,12,8,4,1164,371,793
서울특별시,송파구,마천1동,1847,773,1074,529,240,289,17,11,6,1301,522,779
서울특별시,송파구,마천2동,1691,669,1022,441,175,266,16,10,6,1234,484,750
서울특별시,송파구,방이1동,491,177,314,91,32,59,5,2,3,395,143,252
서울특별시,송파구,방이2동,1229,484,745,260,118,142,13,7,6,956,359,597
서울특별시,송파구,오륜동,307,65,242,9,1,8,2,-,2,296,64,232
서울특별시,송파구,오금동,1861,596,1265,392,126,266,22,12,10,1447,458,989
서울특별시,송파구,송파1동,876,290,586,158,65,93,7,2,5,711,223,488
서울특별시,송파구,송파2동,504,168,336,78,32,46,6,1,5,420,135,285
서울특별시,송파구,석촌동,1637,679,958,341,174,167,20,8,12,1276,497,779
서울특별시,송파구,삼전동,1542,522,1020,362,136,226,16,6,10,1164,380,784
서울특별시,송파구,가락본동,1117,464,653,211,101,110,9,2,7,897,361,536
서울특별시,송파구,가락1동,540,126,414,51,11,40,11,3,8,478,112,366
서울특별시,송파구,가락2동,884,271,613,139,52,87,11,4,7,734,215,519
서울특별시,송파구,문정1동,631,213,418,110,43,67,10,4,6,511,166,345
서울특별시,송파구,문정2동,540,165,375,28,10,18,4,2,2,508,153,355
서울특별시,송파구,잠실본동,1388,579,809,314,169,145,14,5,9,1060,405,655
서울특별시,송파구,잠실4동,405,82,323,7,3,4,8,4,4,390,75,315
서울특별시,송파구,잠실6동,371,86,285,16,4,12,3,1,2,352,81,271
서울특별시,송파구,잠실7동,264,73,191,4,1,3,-,-,-,260,72,188
서울특별시,송파구,잠실2동,495,103,392,8,3,5,3,1,2,484,99,385
서울특별시,송파구,잠실3동,736,171,565,20,5,15,6,2,4,710,164,546
서울특별시,송파구,장지동,1355,360,995,368,81,287,17,7,10,970,272,698
서울특별시,송파구,위례동,711,170,541,208,41,167,21,9,12,482,120,362
서울특별시,강동구,소계,18520,6371,12149,5527,2150,3377,591,148,443,12402,4073,8329
서울특별시,강동구,명일1동,823,227,596,152,73,79,21,3,18,650,151,499
서울특별시,강동구,명일2동,372,105,267,56,13,43,8,2,6,308,90,218
서울특별시,강동구,고덕1동,476,167,309,142,57,85,23,7,16,311,103,208
서울특별시,강동구,고덕2동,659,256,403,199,79,120,19,6,13,441,171,270
서울특별시,강동구,암사2동,485,133,352,59,29,30,8,3,5,418,101,317
서울특별시,강동구,암사3동,391,112,279,40,15,25,11,3,8,340,94,246
서울특별시,강동구,천호1동,1595,582,1013,571,232,339,49,10,39,975,340,635
서울특별시,강동구,천호3동,1497,623,874,552,235,317,48,12,36,897,376,521
서울특별시,강동구,성내1동,584,170,414,83,39,44,10,3,7,491,128,363
서울특별시,강동구,성내2동,1404,551,853,384,172,212,49,19,30,971,360,611
서울특별시,강동구,성내3동,973,319,654,217,88,129,32,9,23,724,222,502
서울특별시,강동구,둔촌1동,3,2,1,2,2,-,-,-,-,1,-,1
서울특별시,강동구,둔촌2동,908,280,628,177,61,116,36,6,30,695,213,482
서울특별시,강동구,암사1동,1832,641,1191,602,233,369,62,13,49,1168,395,773
서울특별시,강동구,천호2동,1912,744,1168,740,316,424,47,11,36,1125,417,708
서울특별시,강동구,길동,2119,758,1361,556,238,318,40,15,25,1523,505,1018
서울특별시,강동구,강일동,1357,389,968,647,172,475,68,14,54,642,203,439
서울특별시,강동구,상일1동,667,186,481,111,35,76,17,2,15,539,149,390
서울특별시,강동구,상일2동,463,126,337,237,61,176,43,10,33,183,55,128
